route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",4,711,"Wall St./Pier 11",1406,0,14,81
"ER",4,712,"Wall St./Pier 11",1506,0,15,81
"ER",4,713,"Wall St./Pier 11",1308,0,13,81
"ER",4,714,"Wall St./Pier 11",1210,0,12,81
"ER",4,715,"Wall St./Pier 11",1408,0,14,81
"ER",4,716,"Wall St./Pier 11",1508,0,15,81
"ER",4,717,"Wall St./Pier 11",1310,0,13,81
"ER",4,718,"Wall St./Pier 11",1212,0,12,81
"ER",4,719,"Wall St./Pier 11",1410,0,14,81
"ER",4,720,"Wall St./Pier 11",1510,0,15,81
"RW",2,721,"Rockaway",2102,0,21,8
"RW",2,722,"Rockaway",2202,0,22,8
"RW",2,723,"Rockaway",2104,0,21,8
"RW",2,724,"Rockaway",2204,0,22,8
"RW",2,725,"Rockaway",2106,0,21,8
"RW",2,726,"Rockaway",2206,0,22,8
"RW",1,727,"Rockaway",2108,0,21,8
"RW",1,728,"Rockaway",2208,0,22,8
"RW",1,729,"Rockaway",2110,0,21,8
"RW",1,730,"Rockaway",2210,0,22,8
"RW",1,731,"Rockaway",2112,0,21,8
"RW",1,732,"Rockaway",2212,0,22,8
"RW",1,733,"Rockaway",2114,0,21,8
"RW",1,734,"Rockaway",2214,0,22,8
"RW",2,735,"Wall St./Pier 11",2101,1,21,7
"RW",2,736,"Wall St./Pier 11",2201,1,22,7
"RW",2,737,"Wall St./Pier 11",2103,1,21,7
"RW",2,738,"Wall St./Pier 11",2203,1,22,7
"RW",2,739,"Wall St./Pier 11",2105,1,21,7
"RW",2,740,"Wall St./Pier 11",2205,1,22,7
"RW",2,741,"Wall St./Pier 11",2107,1,21,7
"RW",2,742,"Wall St./Pier 11",2207,1,22,7
"RW",1,743,"Wall St./Pier 11",2109,1,21,7
"RW",1,744,"Wall St./Pier 11",2209,1,22,7
"RW",1,745,"Wall St./Pier 11",2111,1,21,7
"RW",1,746,"Wall St./Pier 11",2211,1,22,7
"RW",1,747,"Wall St./Pier 11",2113,1,21,7
"RW",1,748,"Wall St./Pier 11",2213,1,22,7
"RW",1,749,"Wall St./Pier 11",2115,1,21,7
"RW",4,750,"Rockaway",2201,0,22,8
"RW",4,751,"Rockaway",2102,0,21,8
"RW",4,752,"Rockaway",2203,0,22,8
"RW",4,753,"Rockaway",2104,0,21,8
"RW",4,754,"Rockaway",2205,0,22,8
"RW",4,755,"Rockaway",2106,0,21,8
"RW",4,756,"Rockaway",2207,0,22,8
"RW",4,757,"Rockaway",2108,0,21,8
"RW",4,758,"Rockaway",2209,0,22,8
"RW",4,759,"Rockaway",2110,0,21,8
"RW",4,760,"Rockaway",2211,0,22,8
"RW",4,761,"Wall St./Pier 11",2101,1,21,7
"RW",4,762,"Wall St./Pier 11",2202,1,22,7
"RW",4,763,"Wall St./Pier 11",2103,1,21,7
"RW",4,764,"Wall St./Pier 11",2204,1,22,7
"RW",4,765,"Wall St./Pier 11",2105,1,21,7
"RW",4,766,"Wall St./Pier 11",2206,1,22,7
"RW",4,767,"Wall St./Pier 11",2107,1,21,7
"RW",4,768,"Wall St./Pier 11",2208,1,22,7
"RW",4,769,"Wall St./Pier 11",2109,1,21,7
"RW",4,770,"Wall St./Pier 11",2210,1,22,7
"RW",4,771,"Wall St./Pier 11",2111,1,21,7
"RW",4,772,"Wall St./Pier 11",2212,1,22,7
"SB",1,773,"Sunset Park/BAT Limited",3301,0,33,117
"SB",1,774,"Sunset Park/BAT Limited",3102,0,31,115
"SB",2,775,"Sunset Park/BAT Limited",3303,0,33,115
"SB",1,776,"Sunset Park/BAT Limited",3104,0,31,115
"SB",1,777,"Bay Ridge",3305,0,33,46
"SB",1,778,"Bay Ridge",3106,0,31,46
"SB",1,779,"Bay Ridge",3307,0,33,46
"SB",1,780,"Bay Ridge",3108,0,31,46
"SB",1,781,"Bay Ridge",3210,0,32,46
"SB",1,782,"Bay Ridge",3309,0,33,46
"SB",1,783,"Sunset Park/BAT Limited",3110,0,31,115
"SB",1,784,"Bay Ridge Limited",3212,0,32,119
"SB",1,785,"Sunset Park/BAT Limited",3311,0,33,115
"SB",1,786,"Bay Ridge Limited",3214,0,32,119
"SB",1,787,"Bay Ridge Limited",3216,0,32,79
"SB",1,788,"Sunset Park/BAT Limited",3313,0,33,117
"SB",1,789,"Bay Ridge Limited",3218,0,32,79
"SB",1,790,"Bay Ridge",3114,0,31,106
"SB",1,791,"Bay Ridge",3315,0,33,106
"SB",2,792,"Corlears Hook Limited",3101,1,31,118
"SB",2,793,"Corlears Hook Limited",3302,1,33,116
"SB",2,794,"Corlears Hook Limited",3103,1,31,116
"SB",2,795,"Corlears Hook Limited",3304,1,33,116
"SB",2,796,"Corlears Hook Limited",3105,1,31,116
"SB",1,797,"Wall St./Pier 11 Limited",3209,1,32,80
"SB",1,798,"Corlears Hook",3306,1,33,45
"SB",1,799,"Corlears Hook",3107,1,31,45
"SB",1,800,"Corlears Hook",3308,1,33,45
"SB",1,801,"Corlears Hook",3109,1,31,45
"SB",1,802,"Corlears Hook",3211,1,32,45
"SB",1,803,"Corlears Hook",3310,1,33,45
"SB",1,804,"Corlears Hook Limited",3111,1,31,116
"SB",1,805,"Corlears Hook Limited",3312,1,33,116
"SB",1,806,"Wall St./Pier 11 Limited",3215,1,32,80
"SB",1,807,"Wall St./Pier 11 Limited",3217,1,32,80
"SB",1,808,"Corlears Hook Limited",3314,1,33,118
"SB",1,809,"Wall St./Pier 11 Limited",3219,1,32,80
"SB",1,810,"Corlears Hook",3115,1,31,105
"SB",4,811,"Red Hook/Atlantic Basin",3102,0,31,126
"SB",4,822,"Red Hook/Atlantic Basin",3104,0,31,126
"SB",4,823,"Bay Ridge",3106,0,31,46
"SB",4,824,"Bay Ridge",3202,0,32,46
"SB",4,825,"Bay Ridge",3301,0,33,46
"SB",4,826,"Bay Ridge",3108,0,31,46
"SB",4,827,"Bay Ridge",3204,0,32,46
"SB",4,828,"Bay Ridge",3303,0,33,46
"SB",4,829,"Bay Ridge",3110,0,31,46
"SB",4,830,"Bay Ridge",3206,0,32,46
"SB",4,831,"Bay Ridge",3305,0,33,46
"SB",4,832,"Bay Ridge",3112,0,31,46
"SB",4,833,"Bay Ridge",3208,0,32,106
"SB",4,834,"Bay Ridge",3307,0,33,106
"SB",4,835,"Bay Ridge",3114,0,31,106
"SB",4,836,"Bay Ridge",3210,0,32,106
"SB",4,837,"Bay Ridge",3309,0,33,106
"SB",4,838,"Wall St./Pier 11 Limited",3101,1,31,125
"SB",4,839,"Wall St./Pier 11 Limited",3103,1,31,125
"SB",4,840,"Wall St./Pier 11 Limited",3105,1,31,125
"SB",4,841,"Corlears Hook",3201,1,32,45
"SB",4,842,"Corlears Hook",3107,1,31,45
"SB",4,843,"Corlears Hook",3203,1,32,45
"SB",4,844,"Corlears Hook",3302,1,33,45
"SB",4,845,"Corlears Hook",3109,1,31,45
"SB",4,846,"Corlears Hook",3205,1,32,45
"SB",4,847,"Corlears Hook",3304,1,33,45
"SB",4,848,"Corlears Hook",3111,1,31,45
"SB",4,849,"Corlears Hook",3207,1,32,45
"SB",4,850,"Corlears Hook",3306,1,33,45
"SB",4,851,"Corlears Hook",3113,1,31,105
"SB",4,852,"Corlears Hook",3209,1,32,105
"SB",4,853,"Corlears Hook",3308,1,33,105
"SB",4,854,"Corlears Hook",3115,1,31,105
"SB",4,855,"Corlears Hook",3211,1,32,105
"AS",2,856,"East 90th St",4313,1,43,107
